Negative,Positive,Uncertainty,Litigious,StrongModal,WeakModal,Constraining
BLUNDER,pally,,,,,
BLUNDERING,palpable,,,,,
BLUNDERS,pamper,,,,,
BLUNT,par-excellence,,,,,
BLUR,paradisal,,,,,
BLURRED,paradise,,,,,
BLURRING,paragon,,,,,
BLURRY,paramount,,,,,
BLURS,pardon,,,,,
BLURT,parenting,,,,,
BOASTFUL,particular,,,,,
BOGGLE,partisan,,,,,
BOGUS,partner,,,,,
BOIL,partnership,,,,,
BOILING,party,,,,,
BOISTEROUS,passion,,,,,
BOMB,passionate,,,,,
BOMBARD,passionately,,,,,
BOMBARDMENT,passive,,,,,
BOMBASTIC,paternal,,,,,
BONDAGE,pathfinder,,,,,
BONKERS,patience,,,,,
BOORISH,patient,,,,,
BORE,patiently,,,,,
BORED,patriot,,,,,
BOREDOM,patriotic,,,,,
BORES,patriotism,,,,,
BORING,patronize,,,,,
BOSSY,peace,,,,,
BOTCH,peaceable,,,,,
BOTHER,peaceably,,,,,
BOTHERED,peaceful,,,,,
BOTHERING,peacefulness,,,,,
BOTHERS,peacekeeper,,,,,
BOTHERSOME,peacemaker,,,,,
BOWDLERIZE,peach,,,,,
BRAGGART,peachy-keen,,,,,
BRAGGER,peak,,,,,
BRAINLESS,pearl,,,,,
BRAINWASH,peerless,,,,,
BRASH,pep,,,,,
BRASHLY,peppy,,,,,
BRASHNESS,percent,,,,,
BRAT,perception,,,,,
BRAVADO,perceptive,,,,,
BRAZENLY,perfection,,,,,
BRAZENNESS,perfectionist,,,,,
BREAK-UP,perky,,,,,
BREAK-UPS,permanent,,,,,
BREAKUP,persist,,,,,
BREAKUPS,persistence,,,,,
BRIMSTONE,persistently,,,,,
BRISTLE,personable,,,,,
BRITTLE,personality,,,,,
BROKE,perspective,,,,,
BROKEN-HEARTED,persuasively,,,,,
BROOD,pert,,,,,
BROWBEAT,pertinent,,,,,
BRUISE,pervade,,,,,
BRUISED,petichor,,,,,
BRUISES,petite,,,,,
BRUISING,phenomena,,,,,
BRUSQUE,phenomenal,,,,,
BRUTAL,phenomenally,,,,,
BRUTALITIES,phenomenon,,,,,
BRUTALITY,phew,,,,,
BRUTALIZE,philanthropic,,,,,
BRUTALIZING,philanthropist,,,,,
BRUTALLY,philanthropy,,,,,
BRUTE,philosopher,,,,,
BRUTISH,philosophical,,,,,
BUCKLE,pick,,,,,
BUG,pick-me-up,,,,,
BUGGING,picturesque,,,,,
BUGGY,piety,,,,,
BUGS,pilot,,,,,
BULIMIA,pinnacle,,,,,
BULKIER,pioneer,,,,,
BULKINESS,pioneering,,,,,
BULKY,pious,,,,,
BULL****,piquancy,,,,,
BULLIES,piquant,,,,,
BULLS,pivotal,,,,,
BULLS..T,pizzazz,,,,,
BULLSHIT,placid,,,,,
BULLY,plausible,,,,,
BULLYING,play,,,,,
BULLYINGLY,playful,,,,,
BULL—-,playfulness,,,,,
BUM,playmate,,,,,
BUMP,plea,,,,,
BUMPS,please,,,,,
BUNGLE,pleasing,,,,,
BUNGLER,pleasurable,,,,,
BUNK,plenitude,,,,,
BURDENSOMELY,plenty,,,,,
BURN,pliability,,,,,
BURNING,plucky,,,,,
BURNS,plug,,,,,
BUST,plum,,,,,
BUSTS,plummy,,,,,
BUSYBODY,plump,,,,,
BUTCHER,plus,,,,,
BUTCHERY,plush,,,,,
BUZZING,poet,,,,,
BYZANTINE,poetic,,,,,
CACKLE,poetical,,,,,
CAGEY,poise,,,,,
CALAMITOUSLY,politely,,,,,
CALUMNIATE,portable,,,,,
CALUMNIATION,portal,,,,,
CALUMNIES,portray,,,,,
CALUMNIOUS,posh,,,,,
CAN'T,positivity,,,,,
CANCER,possess,,,,,
CANCEROUS,possibility,,,,,
CANNIBAL,possible,,,,,
CANNIBALIZE,potent,,,,,
CAPITULATE,potential,,,,,
CAPRICIOUS,power,,,,,
CAPRICIOUSLY,powerful,,,,,
CAPRICIOUSNESS,practical,,,,,
CAPSIZE,practicality,,,,,
CARICATURE,pragmatic,,,,,
CARNAGE,pragmatically,,,,,
carp,praise,,,,,
cartoonish,praiseworthy,,,,,
cash-strapped,pray,,,,,
castigate,prayer,,,,,
castrated,precious,,,,,
casualty,precise,,,,,
cataclysm,precisely,,,,,
cataclysmal,precision,,,,,
cataclysmic,predominant,,,,,
caustic,prepare,,,,,
caustically,prepared,,,,,
cave,preponderant,,,,,
chafe,presence,,,,,
chaff,present,,,,,
chagrin,preservation,,,,,
chaos,president,,,,,
chastise,presto,,,,,
chastisement,prettiness,,,,,
chatter,pretty,,,,,
chatterbox,prevail,,,,,
cheap,prevailing,,,,,
cheapen,prevalent,,,,,
cheaply,priceless,,,,,
cheat,pride,,,,,
cheated,primal,,,,,
cheater,primary,,,,,
cheating,prime,,,,,
cheats,primo,,,,,
checkered,prince,,,,,
cheerless,princely,,,,,
cheesy,princess,,,,,
chide,principal,,,,,
childish,principle,,,,,
chill,principled,,,,,
chilly,prior,,,,,
chintzy,priority,,,,,
choke,pristine,,,,,
choleric,privacy,,,,,
choppy,private,,,,,
chore,privilege,,,,,
chronic,privileged,,,,,
chubby,prize,,,,,
chunky,prized,,,,,
clamor,prizewinner,,,,,
clamorous,pro,,,,,
clique,process,,,,,
clog,prodigious,,,,,
clogged,prodigy,,,,,
clogs,produce,,,,,
cloud,productive,,,,,
clouding,productively,,,,,
cloudy,productivity,,,,,
clueless,professional,,,,,
clumsy,professor,,,,,
coarse,profit,,,,,
cold,profusion,,,,,
coldly,progressive,,,,,
combative,prominently,,,,,
combust,promise,,,,,
comical,promising,,,,,
commiserate,promisingly,,,,,
commonplace,promote,,,,,
commotion,promotion,,,,,
commotions,prompt,,,,,
complacent,promptly,,,,,
complex,prospective,,,,,
compulsive,protect,,,,,
conceit,protector,,,,,
conceited,protege,,,,,
concession,provider,,,,,
concessions,provocative,,,,,
condemnable,prudence,,,,,
condescend,pukka,,,,,
condescending,pumped,,,,,
condescendingly,punchy,,,,,
condescension,punctilious,,,,,
confessions,puppy,,,,,
confound,purposeful,,,,,
confounded,quadruple,,,,,
confounding,quaff,,,,,
confusions,quality,,,,,
congested,quality-assurance,,,,,
congestion,quality-of-life,,,,,
cons,quality-time,,,,,
conservative,quantifiable,,,,,
conspicuous,quantity,,,,,
conspicuously,quarter,,,,,
consternation,quell,,,,,
contagious,quemeful,,,,,
contaminate,quench,,,,,
contaminated,quenching,,,,,
contaminates,querist,,,,,
contaminating,quest,,,,,
contamination,quester,,,,,
contemptible,qui,,,,,
contemptuous,quick,,,,,
contemptuously,quick-as-a-flash,,,,,
contort,quick-sighted,,,,,
contortions,quick-thinking,,,,,
contrariness,quickening,,,,,
contravene,quickly,,,,,
contrive,quickness,,,,,
contrived,quickstep,,,,,
convoluted,quiet,,,,,
corrode,quieter,,,,,
corrosion,quietly,,,,,
corrosions,quietness,,,,,
corrosive,quietsome,,,,,
corrupts,quip,,,,,
costlier,quirk,,,,,
counter-productive,quite,,,,,
counterproductive,quiver,,,,,
covetous,quixotic,,,,,
coward,quiz,,,,,
cowardly,quota,,,,,
crabby,quotable,,,,,
crack,quotation,,,,,
cracked,quote,,,,,
cracks,quotes,,,,,
craftily,quotha,,,,,
craftilycrafty,quotidian,,,,,
crafty,racy,,,,,
cramp,rad,,,,,
cramped,radiance,,,,,
cramping,radiant,,,,,
cranky,radiantly,,,,,
crap,radiate,,,,,
crappy,rah,,,,,
craps,rain-maker,,,,,
crash,rainbow,,,,,
crashed,raison-d’etre,,,,,
crashes,rambunctious,,,,,
crashing,rapid,,,,,
crass,rapidly,,,,,
craven,rapport,,,,,
cravenly,rapt,,,,,
craze,rapture,,,,,
crazily,rapturous,,,,,
craziness,rapturously,,,,,
crazy,rasasvada,,,,,
creak,rational,,,,,
creaking,rationality,,,,,
creaks,rationally,,,,,
credulous,ravish,,,,,
creep,ravishing,,,,,
creeping,ravishingly,,,,,
creeps,razor-sharp,,,,,
creepy,re-connection,,,,,
crept,reachable,,,,,
cringe,readiness,,,,,
cringed,ready,,,,,
cringes,reaffirm,,,,,
cripple,reaffirmation,,,,,
crippled,real,,,,,
cripples,realistic,,,,,
crippling,reality,,,,,
critic,really,,,,,
critics,reassure,,,,,
cronyism,reassuring,,,,,
crook,reassuringly,,,,,
crooked,reborn,,,,,
crooks,receive,,,,,
crowded,receiver,,,,,
crowdedness,reception,,,,,
cruel,receptively,,,,,
crueler,recherche,,,,,
cruelest,recipient,,,,,
cruelly,reciprocal,,,,,
cruelness,reciprocally,,,,,
cruelties,reciprocate,,,,,
cruelty,reclaim,,,,,
crumble,recognition,,,,,
crumbling,recognizable,,,,,
crummy,recognize,,,,,
crumple,recognized,,,,,
crumpled,recommend,,,,,
crumples,recommendable,,,,,
crush,recommendation,,,,,
crushed,recommendations,,,,,
crushing,recommended,,,,,
cry,reconcile,,,,,
culprit,record-setting,,,,,
cunt,recovery,,,,,
cunts,recreation,,,,,
curse,rectification,,,,,
cursed,rectify,,,,,
curses,rectifying,,,,,
curt,recuperation,,,,,
cuss,recuperative,,,,,
cussed,red-carpet,,,,,
cutthroat,redeem,,,,,
cutting,redeeming,,,,,
cynical,redemption,,,,,
cynicism,refine,,,,,
daft,refined,,,,,
daimon,refinement,,,,,
damn,reformed,,,,,
damnable,reforming,,,,,
damnably,reforms,,,,,
damnation,refresh,,,,,
damned,refreshed,,,,,
damning,refreshing,,,,,
damper,refreshingly,,,,,
dangerousness,refunded,,,,,
dank,regal,,,,,
dantean,regally,,,,,
daredevil,regard,,,,,
dark,regnant,,,,,
darken,regular,,,,,
darkened,regulator,,,,,
darker,reincarnation,,,,,
darkness,rejoice,,,,,
darn,rejoicing,,,,,
dastard,rejoicingly,,,,,
dastardly,rejuvenate,,,,,
daunt,rejuvenated,,,,,
daunting,rejuvenating,,,,,
dauntingly,rejuvenation,,,,,
dawdle,rejuvenescent,,,,,
daze,relatedness,,,,,
dazed,relationships,,,,,
dead,relax,,,,,
deadbeat,relaxation,,,,,
deadly,relaxing,,,,,
deaf,release,,,,,
dearth,releasing,,,,,
death,relent,,,,,
debacle,relevant,,,,,
debase,reliability,,,,,
debasement,reliable,,,,,
debaser,reliably,,,,,
debatable,relief,,,,,
debauch,relieve,,,,,
debaucher,relieved,,,,,
debauchery,reliever,,,,,
debilitate,religion,,,,,
debilitating,relish,,,,,
debility,remarkable,,,,,
debt,remarkably,,,,,
debts,remedy,,,,,
decadence,remission,,,,,
decadent,remissive,,,,,
decay,remunerate,,,,,
decayed,renaissance,,,,,
decaying,renew,,,,,
deceitfully,renovation,,,,,
deceiver,replaceable,,,,,
deceivers,repose,,,,,
declaim,resilience,,,,,
decrement,resolutely,,,,,
decrepitude,resolved,,,,,
decry,resound,,,,,
defiance,respectably,,,,,
defiant,respected,,,,,
defiantly,respectful,,,,,
defile,resplendently,,,,,
defiler,responsibility,,,,,
deform,responsible,,,,,
deformed,responsibly,,,,,
defy,rest,,,,,
degenerate,rested,,,,,
degenerately,restful,,,,,
degeneration,restfully,,,,,
degradingly,restore,,,,,
dehumanization,restored,,,,,
dehumanize,restructure,,,,,
deign,restructured,,,,,
deject,restructuring,,,,,
dejected,result,,,,,
dejectedly,results,,,,,
dejection,retentive,,,,,
delirious,revelation,,,,,
delirium,revere,,,,,
delude,revered,,,,,
deluded,reverence,,,,,
deluge,reverent,,,,,
delusion,reverently,,,,,
delusional,revitalize,,,,,
delusions,revitalizing,,,,,
demanding,revival,,,,,
demean,revive,,,,,
demeaning,revived,,,,,
demented,revives,,,,,
demential,revolutionary,,,,,
demoniac,rewardable,,,,,
demonize,rewardingly,,,,,
demonized,rhapsodic,,,,,
demonizes,rhapsodically,,,,,
demonizing,rhapsody,,,,,
demonologist,rich,,,,,
demoralize,richer,,,,,
demoralizing,richly,,,,,
demoralizingly,richness,,,,,
denounce,righteously,,,,,
dense,righteousness,,,,,
dent,rightful,,,,,
dented,rightfully,,,,,
dents,rightly,,,,,
denunciate,rightness,,,,,
denunciation,ripe,,,,,
denunciations,rise,,,,,
deplorable,risk-taking,,,,,
deplorably,robust,,,,,
deplore,robustly,,,,,
deploring,rock,,,,,
deploringly,roger,,,,,
deprave,roger-that,,,,,
depraved,roll,,,,,
depravedly,rollick,,,,,
deprecate,rollicking,,,,,
depressingly,romantically,,,,,
depression,romanticize,,,,,
depressions,romeo,,,,,
depressive,roomier,,,,,
deride,rooter,,,,,
derision,rose,,,,,
derisive,rosily,,,,,
derisively,rosiness,,,,,
derisiveness,rosy,,,,,
desecrate,rounded,,,,,
desert,rouse,,,,,
desertion,rousing,,,,,
desiccate,rousingly,,,,,
desiccated,royal,,,,,
desolate,rugged,,,,,
desolately,ruggedly,,,,,
desolation,ruler,,,,,
despair,ruling,,,,,
despairing,run,,,,,
despairingly,run-after,,,,,
desperate,run-for-my-money,,,,,
desperately,runner,,,,,
desperation,sabbath,,,,,
despicable,saccharine,,,,,
despicably,sacd,,,,,
despise,sachem,,,,,
despised,sacralise,,,,,
despiteful,sacralization,,,,,
despiteous,sacralize,,,,,
despoil,sacred,,,,,
despoiler,sacrifice,,,,,
despondence,sacrificial,,,,,
despondency,sacrificially,,,,,
despondent,sacring,,,,,
despondently,sacrosanct,,,,,
despot,sadhu,,,,,
despotic,safe,,,,,
despotism,safe-bet,,,,,
destitute,safe-guard,,,,,
destitution,safe-house,,,,,
destroyer,safe-period,,,,,
desultory,safeness,,,,,
detached,safety,,,,,
detest,safety-glass,,,,,
detestable,safety-lamp,,,,,
detestably,safety-match,,,,,
detested,safety-net,,,,,
detesting,safety-pin,,,,,
detests,safety-razor,,,,,
detraction,sagacious,,,,,
detracts,sagaciously,,,,,
deuced,saganaki,,,,,
devastates,sago,,,,,
devastatingly,sail,,,,,
deviant,saintliness,,,,,
devil,salaam,,,,,
devilish,salary,,,,,
devilishly,sale,,,,,
devilment,saleable,,,,,
devilry,salient,,,,,
devious,saliently,,,,,
deviously,salivate,,,,,
deviousness,sally-lunn,,,,,
devoid,saloon-car,,,,,
diabolic,salt-of-the-earth,,,,,
diabolical,salubrious,,,,,
diabolically,salubriously,,,,,
diametrically,salubrity,,,,,
diatribe,salut,,,,,
diatribes,salutary,,,,,
dick,salutation,,,,,
dictator,salutational,,,,,
dictatorial,salutatorian,,,,,
die,salutatory,,,,,
die-hard,salute,,,,,
died,salutiferous,,,,,
dies,salvage,,,,,
diffidence,samaritan,,,,,
dilapidated,samskara,,,,,
dilemma,sanative,,,,,
dilly-dally,sanctification,,,,,
dim,sanctified,,,,,
dim-witted,sanctifier,,,,,
dimmer,sanctifying,,,,,
ding,sanctimonious,,,,,
dings,sanction,,,,,
dingy,sanctioned,,,,,
dinky,sanctitude,,,,,
dippy,sanctity,,,,,
dire,sanctuary,,,,,
direful,sanctum,,,,,
direly,sanctus,,,,,
direness,sand-pit,,,,,
dirt,sandlot,,,,,
dirty,sane,,,,,
disable,sanely,,,,,
disabled,saneness,,,,,
disaccord,sangfroid,,,,,
disaffect,sanitariness,,,,,
disaffected,sanitary,,,,,
disaffirm,sanitize,,,,,
disagreeably,santa-claus,,,,,
disapprobation,satiable,,,,,
discombobulate,satori,,,,,
discomfit,satsang,,,,,
discomfitdiscomfort,satsanga,,,,,
discomfort,saturated,,,,,
discompose,saturnalia,,,,,
disconcert,saucily,,,,,
disconcerted,sauciness,,,,,
disconcerting,saucy,,,,,
disconcertingly,sauna,,,,,
disconsolate,saunter,,,,,
disconsolately,savant,,,,,
disconsolation,save,,,,,
discontent,save-a-packet,,,,,
discontented,saver,,,,,
discontentedly,saving,,,,,
discontinuity,savings,,,,,
discontinuous,savior,,,,,
discord,saviour,,,,,
discordance,savoir-faire,,,,,
discordant,savor,,,,,
discountenance,savory,,,,,
discouragement,savouring,,,,,
discouragingly,savvied,,,,,
discourteous,savvier,,,,,
discourteously,savvies,,,,,
discrepant,savvy,,,,,
discriminate,savvying,,,,,
discriminating,say,,,,,
discrimination,scale-of-god,,,,,
discriminative,scamper,,,,,
discriminatory,scenic,,,,,
disdain,scherzando,,,,,
disdained,scherzo,,,,,
disdainful,schmooze,,,,,
disdainfully,scholar,,,,,
disease,scholarly,,,,,
disenchanted,scholarship,,,,,
disengaged,school,,,,,
disgraced,scientific,,,,,
disgruntle,scintillatingly,,,,,
disgruntled,scintillation,,,,,
disgust,scintillator,,,,,
disgusted,scion,,,,,
disgustedly,scope,,,,,
disgustful,score,,,,,
disgustfully,scores,,,,,
disgusting,scot-free,,,,,
disgustingly,scrappy,,,,,
dishearten,scream,,,,,
disheartening,screamer,,,,,
dishearteningly,script,,,,,
disheveled,scripter,,,,,
disillusion,scrumptiousness,,,,,
disillusioned,scrupulous,,,,,
disillusionment,sculp,,,,,
disillusions,sculptor,,,,,
disinclination,seamless,,,,,
disinclined,season,,,,,
disingenuous,seasonable,,,,,
disingenuously,seasoned,,,,,
disintegrate,seaworthy,,,,,
disintegrated,secluded,,,,,
disintegrates,seclusion,,,,,
disintegration,second-advent,,,,,
disinterest,second-sight,,,,,
dislikable,second-wind,,,,,
dislike,secure,,,,,
disliked,secured,,,,,
dislikes,securely,,,,,
disliking,security,,,,,
dislocated,seductive,,,,,
dismalness,sedulousness-,,,,,
dismay,sedulous–,,,,,
dismayed,see-ya,,,,,
dismaying,seek,,,,,
dismayingly,seeker,,,,,
dismissive,seem,,,,,
dismissively,seemly,,,,,
disobedience,select,,,,,
disobedient,selective,,,,,
disobey,self-acceptance,,,,,
disorder,self-affirmation,,,,,
disordered,self-analysing,,,,,
disorganized,self-assertive,,,,,
disorient,self-assurance,,,,,
disoriented,self-assured,,,,,
disown,self-awareness,,,,,
disparate,self-confident,,,,,
dispassionate,self-confident-,,,,,
dispensable,self-confidently,,,,,
dispirit,self-confidently-,,,,,
dispirited,self-consistency,,,,,
dispiritedly,self-consistent,,,,,
dispiriting,self-control,,,,,
displease,self-defensive,,,,,
displeased,self-determination,,,,,
displeasing,self-discipline,,,,,
displeasure,self-disciplined,,,,,
disprove,self-esteem,,,,,
disputable,self-expression,,,,,
disquiet,self-help,,,,,
disquieting,self-kindness,,,,,
disquietingly,self-love,,,,,
disquietude,self-made,,,,,
disregardful,self-realisation,,,,,
disrespect,self-sacrifice-,,,,,
disrespectable,self-sacrificing,,,,,
disrespectful,self-satisfaction,,,,,
disrespectfully,self-starter,,,,,
disrespectfulness,self-starting,,,,,
disrespecting,self-sufficiency,,,,,
dissatisfactory,self-taughtself-worth,,,,,
dissatisfies,selflessly,,,,,
dissatisfy,selflessness,,,,,
dissatisfying,selling-point-,,,,,
dissed,sensation,,,,,
dissemble,sensational,,,,,
dissembler,sensationally,,,,,
dissension,sensations,,,,,
dissention,sensible,,,,,
disservice,sensibly,,,,,
disses,sensitive,,,,,
dissidence,sensitively,,,,,
dissing,sensual,,,,,
dissocial,sensuous,,,,,
dissolute,sensuously,,,,,
dissonance,sentiment,,,,,
dissonant,sentimental,,,,,
dissonantly,sentimental-value,,,,,
dissuade,sentimentally,,,,,
dissuasive,sentinel,,,,,
distains,sequacious,,,,,
distaste,sequin,,,,,
distasteful,serenade,,,,,
distastefully,serenader,,,,,
distraught,serve,,,,,
distraughtly,server,,,,,
distressful,set,,,,,
distressing,settled,,,,,
distressingly,settling,,,,,
distrust,seventh-day-adventist,,,,,
distrustful,sex-appeal,,,,,
distrusting,sex-bomb,,,,,
disturbingly,sexual,,,,,
disunity,sexy,,,,,
disvalue,sfx,,,,,
ditzy,sgraffito,,,,,
divergent,shabash,,,,,
divine,shabbos,,,,,
divisive,shalom,,,,,
divisively,shape,,,,,
divisiveness,shape-shifting,,,,,
dizzy,shapeliness,,,,,
doddering,shapely,,,,,
dodgy,share,,,,,
dogged,share-out,,,,,
doggedly,sharp,,,,,
dogmatic,sharp-featured,,,,,
doldrums,sharp-witted,,,,,
dolt,sharp-wittedness,,,,,
domineer,sharper,,,,,
domineering,sharpest,,,,,
don't,sharpness,,,,,
doom,sharpy,,,,,
doomed,shaver,,,,,
doomful,shazaam,,,,,
doomsday,shazam,,,,,
doomy,sheen,,,,,
dope,sheeniest,,,,,
dorky,sheeny,,,,,
dotty,sheer,,,,,
double-faced,shekhinah,,,,,
doubtfully,shifting,,,,,
doubting,shimmering,,,,,
douchebag,shimmery,,,,,
douchebags,shindig,,,,,
dour,shindy,,,,,
dowdy,shine,,,,,
down,shine-shining,,,,,
down-and-out,shiner,,,,,
downbeat,shine–shining,,,,,
downcast,shining,,,,,
downer,shiningly,,,,,
downfall,shiny,,,,,
downfallen,shipshape,,,,,
downhearted,show-up-more-present,,,,,
downheartedly,showy,,,,,
downhill,shrewd,,,,,
downside,shrewdess,,,,,
downsides,shy,,,,,
downy,significance,,,,,
dozy,significant,,,,,
drab,significantly,,,,,
draconian,silent,,,,,
draconic,silver,,,,,
dragged,simpler,,,,,
dragging,simplest,,,,,
dragoon,simplicity,,,,,
drags,simplified,,,,,
drain,simplifies,,,,,
drained,simplify,,,,,
draining,simplifying,,,,,
drains,simply,,,,,
dread,sinewy,,,,,
dreadful,singular,,,,,
dreadfully,sir,,,,,
dreadfulness,sire,,,,,
dreary,sister,,,,,
dripped,sisterly,,,,,
dripping,sizable,,,,,
drippy,size,,,,,
drips,sizzling,,,,,
drones,skilful,,,,,
droop,skilfully,,,,,
droops,skill,,,,,
droopy,skilled,,,,,
drop-out,skillful,,,,,
drop-outs,skipper,,,,,
dropout,sky-high,,,,,
dropouts,slammin,,,,,
drowning,sleekly,,,,,
drunk,sleekness,,,,,
drunkard,sleeky,,,,,
drunken,sleep,,,,,
dubious,sleep-tight,,,,,
dubiously,slender,,,,,
dubitable,slick,,,,,
dud,sloane,,,,,
duff,sloaney,,,,,
dull,sloe-eyed,,,,,
dullard,slumber-party,,,,,
dullish,small-fry,,,,,
dumb,smarm,,,,,
dumbfound,smart,,,,,
dummy,smarten,,,,,
dump,smarter,,,,,
dumped,smartest,,,,,
dumping,smartly,,,,,
dumpish,smartness,,,,,
dumps,smash,,,,,
dun,smashing,,,,,
dunce,smashingly,,,,,
dunderhead,smile,,,,,
dungeon,smiles,,,,,
dungeons,smiling,,,,,
dupe,smilingly,,,,,
duplicitous,smitten,,,,,
dusky,smooch,,,,,
dust,smoocher,,,,,
dusty,smooching,,,,,
dwarf,smoochy,,,,,
dweeb,smoodge,,,,,
dying,smoother,,,,,
earsplitting,smoothest,,,,,
eccentric,smoothie,,,,,
effigy,snap,,,,,
effrontery,snappy,,,,,
egocentric,snazzily,,,,,
egomania,snazziness,,,,,
egotism,snazzy,,,,,
egotistical,snod,,,,,
egotistically,snog,,,,,
election-rigger,snugged,,,,,
elimination,snuggery,,,,,
emaciated,snugging,,,,,
emasculate,snuggle,,,,,
embarrassingly,snugs,,,,,
embattled,soaraway,,,,,
embroil,soarer,,,,,
embroiled,soaring,,,,,
embroilment,soaringly,,,,,
emergency,sober,,,,,
emphatic,sobriety,,,,,
emphatically,sociable,,,,,
emptiness,sociably,,,,,
enemies,socialization,,,,,
enemy,socialize,,,,,
enervate,socializer,,,,,
enfeeble,socializing,,,,,
enflame,socially,,,,,
engulf,societal,,,,,
enmity,soft-hearted,,,,,
enrage,soft-heartedness,,,,,
enraged,softer,,,,,
enraging,softly,,,,,
enslave,soigne,,,,,
entangle,sol,,,,,
entanglement,solace,,,,,
entrap,solar,,,,,
entrapment,solatium,,,,,
envious,soldier-of-christ,,,,,
enviously,solemn,,,,,
enviousness,solemness,,,,,
epidemic,solemnity,,,,,
equivocal,solemnize,,,,,
erase,solemny,,,,,
err,solidarity,,,,,
errant,solidary,,,,,
eruptions,soothe,,,,,
escapade,soothing,,,,,
eschew,soothingly,,,,,
estranged,sophisticate,,,,,
evil,sorted,,,,,
evildoer,sos,,,,,
evilearsplitting,soteriology,,,,,
evils,sought-after,,,,,
eviscerate,soul,,,,,
exasperate,soulfully,,,,,
exasperated,soulmate,,,,,
exasperating,sound,,,,,
exasperatingly,soundly,,,,,
exasperation,soundness,,,,,
exclusion,soup-kitchen,,,,,
excoriate,soup-up,,,,,
excruciating,souped-up,,,,,
excruciatingly,souvenir,,,,,
excuse,sovereign,,,,,
excuses,sovreign,,,,,
execrate,space,,,,,
exhaust,spacious,,,,,
exhausted,spanking,,,,,
exhaustion,spark,,,,,
exhausts,sparkle,,,,,
exhaustsexhort,sparkles,,,,,
exhort,sparkling,,,,,
exile,sparkly,,,,,
exorbitant,spearhead,,,,,
exorbitantly,special,,,,,
expel,specialist,,,,,
expensive,speciality,,,,,
expire,specialize,,,,,
expired,specially,,,,,
explode,spectacle,,,,,
explosive,speed,,,,,
expulse,speedy,,,,,
expunge,spell,,,,,
exterminate,spellbind,,,,,
extermination,spellbinding,,,,,
extinguish,spellbindingly,,,,,
extort,spellbound,,,,,
extortion,spending-money,,,,,
extraneous,spice,,,,,
extravagance,spicky-and-span,,,,,
extravagant,spicy,,,,,
extravagantly,spiff,,,,,
extremism,spiffing,,,,,
extremist,spiffy,,,,,
extremists,spine-tingling,,,,,
eyesore,spirit,,,,,
f**k,spirited,,,,,
fabricate,spiritedly,,,,,
fabrication,spiritual,,,,,
facetious,spiritual-order,,,,,
facetiously,spiritually,,,,,
faint,splendour,,,,,
fainthearted,splurge,,,,,
faithless,spoil,,,,,
fake,sponsor,,,,,
fall,spontaneity,,,,,
fallacies,spontaneous,,,,,
fallacious,spontaneously,,,,,
fallaciously,sport,,,,,
fallaciousness,sporting,,,,,
fallacy,sportingly,,,,,
fallen,sportive,,,,,
falling,sportively,,,,,
falls,sporty,,,,,
false,spot,,,,,
falsehood,spot-on,,,,,
falter,sprauncy,,,,,
faltered,sprightly,,,,,
famine,sprite,,,,,
famished,sprout,,,,,
fanatic,spruce,,,,,
fanatical,sprung,,,,,
fanatically,spry,,,,,
fanaticism,spunk,,,,,
fanatics,spunky,,,,,
fanciful,square,,,,,
far-fetched,square-meal,,,,,
farce,squire,,,,,
farcical,sshhhh!,,,,,
fascism,stabilizerstable,,,,,
fastidious,stablish,,,,,
fastidiously,stably,,,,,
fat,stacked,,,,,
fat-cat,stag-night,,,,,
fat-cats,stage-struck,,,,,
fatal,staid,,,,,
fatalistic,stainless,,,,,
fatalistically,stand-alone,,,,,
fateful,standard-bearer,,,,,
fatefully,standardize,,,,,
fathomless,standing-ovation,,,,,
fatigue,standout,,,,,
fatigued,star,,,,,
fatty,star-in-its-own-right,,,,,
fatuity,star-spangled,,,,,
fatuous,star-struck,,,,,
fatuously,star-studded,,,,,
fawningly,start,,,,,
faze,state,,,,,
fearful,stately,,,,,
fearfully,statuesque,,,,,
fearsome,status,,,,,
feckless,staunch,,,,,
feeble,staunchly,,,,,
feebleminded,staunchness,,,,,
feign,staying-power,,,,,
feint,steadfast,,,,,
fell,steadfastly,,,,,
felon,steadfastness,,,,,
ferociously,steadiness,,,,,
ferocity,steady,,,,,
fetid,steady-going,,,,,
fever,steel,,,,,
feverish,steely,,,,,
fevers,stellar,,,,,
fiasco,stellarly,,,,,
fib,sterile,,,,,
fibber,sterilize,,,,,
fickle,sterilse,,,,,
fiction,sterling,,,,,
fictional,sthenic,,,,,
fidget,stimulant,,,,,
fidgety,stimulate,,,,,
fiend,stimulated,,,,,
fiendish,stimulates,,,,,
fierce,stimulating,,,,,
fight,stimulation,,,,,
figurehead,stimulative,,,,,
filth,stimulus,,,,,
filthy,stipend,,,,,
finagle,stipendiary,,,,,
finicky,stir,,,,,
fissures,stirred,,,,,
fist,stirring,,,,,
flabbergast,stirringly,,,,,
flabbergasted,stocking-filler,,,,,
flagging,stoic,,,,,
flagrant,stoical,,,,,
flagrantly,stoked,,,,,
flair,stolid,,,,,
flairs,stong-hold,,,,,
flak,stonker,,,,,
flake,stoosh,,,,,
flakey,storied,,,,,
flaking,stout,,,,,
flaky,stout-hearted,,,,,
flare,straight,,,,,
flares,straight-flush,,,,,
